l,/,1,0,0
k,g,/,1,0,0
k,g,/,h
s,f,c
21.83606506522045,18.473311045176498,9.017712576867629,1.0237233947336328
21.915129902197386,18.540199897258987,9.094998060710926,1.0262946285136845
21.994352413226785,18.607222141589858,9.172671359428175,1.028861973165078
22.073733381799354,18.674378441002254,9.250733764755733,1.0314254364434097
22.15327359200044,18.74166945883237,9.329186575063213,1.0339850262238037
22.232973828492263,18.809095858904453,9.40803109535201,1.0365407504989923
22.312834876495998,18.876658305515615,9.487268637253575,1.0390926173773969
22.39285752177408,18.94435746342087,9.566900519027527,1.0416406350812157
22.473042550612213,19.01219399781793,9.646928065559456,1.0441848119445074
22.553390749801355,19.080168574331946,9.727352608358476,1.046725156411275
22.63390290661999,19.148281859000512,9.808175485554692,1.049261677033566
22.714579808815873,19.21653451825823,9.889398041896209,1.0517943824695557
22.795422244588085,19.28492721892152,9.971021628746074,1.0543232814816472
22.876431002568836,19.353460628173234,10.05304760407886,1.0568483829345627
22.957606871805265,19.422135413547252,10.13547733247705,1.0593696957934429
23.297519743374195,19.70970170289457,10.332993614980449,1.0738049258581948
23.382657347487413,19.78172811597435,10.418376807746473,1.076471676545865
23.46797420997922,19.853906181642422,10.50418702980598,1.0791346939238993
23.553471147960362,19.926236591174465,10.590425743827893,1.0817939860158967
23.639148978868324,19.998720036122602,10.677094419285435,1.0844495609419258
23.725008520445822,20.071357208297165,10.764194532449718,1.0871014269165447
23.811050590718885,20.144148799748177,10.85172756638284,1.089749592246803
23.897276007975208,20.217095502747025,10.939695010930867,1.0923940653302673
23.983685590742226,20.290198009767924,11.028098362716431,1.0950348546530402
24.070280157765048,20.36345701346923,11.116939125130957,1.0976719687877765
24.157060527984562,20.43687320667494,11.206218808326735,1.1003054163917199
24.244027520515065,20.510447282355745,11.295938929208491,1.1029352062047206
24.331181954622078,20.584179933610276,11.386101011424772,1.1055613470472723
24.418524649700064,20.658071853646252,11.476706585359004,1.1081838478185493
24.50605642524974,20.732123735761277,11.567757188120112,1.1108027174944388
24.593778100855562,20.806336273323804,11.659254363532906,1.113417965125581
24.681690496162943,20.88071015975385,11.75119966212811,1.1160295998354137
24.769794430855487,20.955246088503742,11.843594641132087,1.118637630818221
24.858090724631875,21.029944753038567,11.93644086445612,1.1212420673371757
24.946580197182783,21.104806846816633,12.029739902685453,1.1238429187223948
25.035263668167552,21.179833063269747,12.123493333067897,1.12644019436899
25.035263668167598,21.179833063269786,12.123493333067945,1.1264401943689908
