l,/,1,0,0
k,g,/,1,0,0
k,g,/,h
s,f,c
21.86147447305427,18.49480740420391,6.5834361990215475,0.3455461532979498
21.855370620946065,18.48964354532037,6.623199762934315,0.34535735019559927
21.849209275468816,18.484431047046616,6.662922556862933,0.3451672424037896
21.842990523413086,18.47916998280747,6.7026042791235305,0.34497583213047167
21.836714448267237,18.473860423234083,6.742244627673479,0.3447831215681583
21.83038113021274,18.468502436159977,6.781843300078513,0.3445891128930267
21.82399064612017,18.46309608661766,6.821399993479998,0.34439380826406096
21.817543069545373,18.457641436835384,6.8609144045622195,0.34419720982222995
21.811038470726217,18.45213854623438,6.900386229519799,0.3439993196897004
21.80447691657964,18.446587471426376,6.9398151640251875,0.3438001399690853
21.797858470698973,18.44098826621133,6.979200903196185,0.34359967274272024
21.791183193351674,18.435340981575514,7.018543141563603,0.3433979200719754
21.784451141477284,18.429645665689783,7.057841573038916,0.34319488399659104
21.777662368685622,18.423902363908034,7.097095890882032,0.3429905665340447
21.770816925255296,18.41811111876598,7.136305787669091,0.34278496967894273
21.76391485813234,18.412271969979958,7.175470955260316,0.34257809540243683
21.756956210929104,18.406384954446022,7.214591084767943,0.34236994565166656
21.749941023923274,18.400450106239088,7.253665866524136,0.34216052234922095
21.742869334057126,18.39446745661233,7.292694990049029,0.34194982739262686
21.735741174936777,18.388437033996514,7.331678144018706,0.3417378626538519
21.728556576831714,18.38235886399963,7.370615016233307,0.3415246299788339
21.72131556667433,18.376232969406484,7.409505293585097,0.3413101311870239
21.71401816805954,18.37005937017837,7.448348662026588,0.34109436807094934
21.70666440124456,18.363838083452897,7.487144806538689,0.34087734239579454
21.699254283148633,18.357569123543744,7.525893411098851,0.340659055898997
21.691787827352908,18.35125250194056,7.564594158649243,0.340439510289859
21.684265044100275,18.344888227308832,7.603246731064942,0.3402187072491753
21.676685940295222,18.338476305489756,7.641850809122098,0.3399966484288729
21.669050519503763,18.332016739500183,7.680406072466139,0.3397733354516663
21.661358781953318,18.325509529532507,7.718912199579955,0.33954876991072436
21.653610724532587,18.31895467295457,7.757368867752073,0.33932295336934987
21.645806340791395,18.31235216430952,7.795775753044835,0.33909588736067053
21.637945620940528,18.305701995315687,7.834132530262549,0.33886757338734125
21.630028551851463,18.29900415486634,7.872438872919623,0.3386380129212558
19.308961380640465,16.335381328021832,7.064420697483167,0.30220493210775706
19.30741330316566,16.334071654478148,7.100605975546197,0.30208568091398497
19.305840254197953,16.33274085505147,7.136776128884397,0.30196566210488185
19.30424226400752,16.331388955350363,7.172931026145634,0.30184487700523743
19.302619361754203,16.330015980044056,7.209070535793561,0.30172332693679654
19.30097157548612,16.32862195286126,7.24519452609654,0.301601013218003
19.299298932138388,16.327206896589075,7.281302865116576,0.3014779371637506
19.29760145753213,16.325770833072184,7.317395420698344,0.30135410008514696
19.29587917637346,16.32431378321195,7.3534720604582,0.30122950328928233
19.294492339365476,16.32314051910319,7.382140299764419,0.3011299119712819
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
