v_init,gear,accel,time
10.700314658131074,1.661,0.625,0.1
10.762814658131074,1.661,0.625,0.1
10.825314658131074,1.661,0.625,0.1
10.887814658131074,1.661,0.625,0.1
10.950314658131074,1.661,0.625,0.1
11.012814658131074,1.661,0.625,0.1
11.075314658131074,1.661,0.625,0.1
11.137814658131074,1.661,0.625,0.1
11.200314658131074,1.661,0.625,0.1
11.262814658131074,1.661,0.625,0.1
11.325314658131074,1.661,0.625,0.1
11.387814658131074,1.661,0.625,0.1
11.450314658131074,1.661,0.625,0.1
11.512814658131074,1.661,0.625,0.1
11.575314658131074,1.661,0.625,0.1
11.637814658131074,1.661,0.625,0.1
11.700314658131074,1.661,0.625,0.1
11.762814658131074,1.661,0.625,0.1
11.825314658131074,1.661,0.625,0.1
11.887814658131074,1.661,0.625,0.1
11.950314658131074,1.211,0.625,0.1
12.012814658131074,1.211,0.625,0.1
12.075314658131074,1.211,0.625,0.1
12.137814658131074,1.211,0.625,0.1
12.200314658131074,1.211,0.625,0.1
12.262814658131074,1.211,0.625,0.1
12.325314658131074,1.211,0.625,0.1
12.387814658131074,1.211,0.625,0.1
12.450314658131074,1.211,0.625,0.1
12.5,1.211,0.625,0.0999999999999989
12.463333333333333,1.661,-0.36666666666666664,0.1
12.426666666666666,1.661,-0.36666666666666664,0.1
12.389999999999999,1.661,-0.36666666666666664,0.1
12.353333333333332,1.661,-0.36666666666666664,0.1
12.316666666666665,1.661,-0.36666666666666664,0.1
12.279999999999998,1.661,-0.36666666666666664,0.1
12.24333333333333,1.661,-0.36666666666666664,0.1
12.206666666666663,1.661,-0.36666666666666664,0.1
12.169999999999996,1.661,-0.36666666666666664,0.1
12.13333333333333,1.661,-0.36666666666666664,0.1
12.096666666666662,1.661,-0.36666666666666664,0.1
12.059999999999995,1.661,-0.36666666666666664,0.1
12.023333333333328,1.661,-0.36666666666666664,0.1
11.986666666666661,1.661,-0.36666666666666664,0.1
11.949999999999994,1.661,-0.36666666666666664,0.1
11.913333333333327,1.661,-0.36666666666666664,0.1
11.87666666666666,1.661,-0.36666666666666664,0.1
11.839999999999993,1.661,-0.36666666666666664,0.1
11.803333333333326,1.661,-0.36666666666666664,0.1
11.766666666666659,1.661,-0.36666666666666664,0.1
11.729999999999992,1.661,-0.36666666666666664,0.1
11.693333333333324,1.661,-0.36666666666666664,0.1
11.656666666666657,1.661,-0.36666666666666664,0.1
11.61999999999999,1.661,-0.36666666666666664,0.1
11.583333333333323,1.661,-0.36666666666666664,0.1
11.546666666666656,1.661,-0.36666666666666664,0.1
11.50999999999999,1.661,-0.36666666666666664,0.1
11.473333333333322,1.661,-0.36666666666666664,0.1
11.436666666666655,1.661,-0.36666666666666664,0.1
11.399999999999988,1.661,-0.36666666666666664,0.1
11.36333333333332,1.661,-0.36666666666666664,0.1
11.326666666666654,1.661,-0.36666666666666664,0.1
11.289999999999987,1.661,-0.36666666666666664,0.1
11.25333333333332,1.661,-0.36666666666666664,0.1
11.216666666666653,1.661,-0.36666666666666664,0.1
11.179999999999986,1.661,-0.36666666666666664,0.1
11.143333333333318,1.661,-0.36666666666666664,0.1
11.106666666666651,1.661,-0.36666666666666664,0.1
11.069999999999984,1.661,-0.36666666666666664,0.1
11.033333333333317,1.661,-0.36666666666666664,0.1
10.99666666666665,1.661,-0.36666666666666664,0.1
10.959999999999983,1.661,-0.36666666666666664,0.1
10.923333333333316,1.661,-0.36666666666666664,0.1
10.886666666666649,1.661,-0.36666666666666664,0.1
10.849999999999982,1.661,-0.36666666666666664,0.1
10.813333333333315,1.661,-0.36666666666666664,0.1
10.776666666666648,1.661,-0.36666666666666664,0.1
10.73999999999998,1.661,-0.36666666666666664,0.1
10.703333333333314,1.661,-0.36666666666666664,0.1
10.666666666666647,1.661,-0.36666666666666664,0.1
10.62999999999998,2.315,-0.36666666666666664,0.1
10.593333333333312,2.315,-0.36666666666666664,0.1
10.556666666666645,2.315,-0.36666666666666664,0.1
10.519999999999978,2.315,-0.36666666666666664,0.1
10.483333333333311,2.315,-0.36666666666666664,0.1
10.446666666666644,2.315,-0.36666666666666664,0.1
10.409999999999977,2.315,-0.36666666666666664,0.1
10.37333333333331,2.315,-0.36666666666666664,0.1
10.336666666666643,2.315,-0.36666666666666664,0.1
10.299999999999976,2.315,-0.36666666666666664,0.1
10.263333333333309,2.315,-0.36666666666666664,0.1
10.226666666666642,2.315,-0.36666666666666664,0.1
10.189999999999975,2.315,-0.36666666666666664,0.1
10.153333333333308,2.315,-0.36666666666666664,0.1
10.11666666666664,2.315,-0.36666666666666664,0.1
10.079999999999973,2.315,-0.36666666666666664,0.1
10.043333333333306,2.315,-0.36666666666666664,0.1
10.00666666666664,2.315,-0.36666666666666664,0.1
9.969999999999972,2.315,-0.36666666666666664,0.1
9.933333333333305,2.315,-0.36666666666666664,0.1
9.896666666666638,2.315,-0.36666666666666664,0.1
